"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",24,24,24,25,29,26,23,27,2,4,29,25,25,25,3,23,26,24,27,15,26,27,29,27,27,26,3,26,24,3,4,25,25,23,27,26,28,27,24,23,24,27,29,25,22,31,2,28,25,2,29,26,22,28,27,26,25,2,25,26,2,30,27,16,26,2,18,24,25,21,28,3,22,26,27,27,32,21,2,2,31,27,27,28,27,3,30,27,25,2,23,28,2,27,27,30,26,26,31,24
"2",18,16,25,21,3,16,19,17,7,18,26,17,20,18,22,20,21,15,25,16,15,16,20,19,23,19,16,4,16,19,14,20,15,15,22,18,24,8,20,14,16,21,4,20,17,4,21,20,20,19,24,19,25,22,23,23,20,4,16,20,18,24,21,21,20,17,19,18,20,22,24,18,20,19,23,21,23,23,21,8,24,23,19,11,21,19,22,21,20,22,4,22,22,3,19,25,21,3,23,15
"3",4,5,5,6,10,1,5,2,5,7,7,2,7,3,7,9,6,9,4,4,7,6,6,7,7,3,9,5,2,11,3,4,8,1,7,10,6,6,7,7,5,7,11,8,2,6,1,8,2,8,9,5,5,9,7,7,3,3,5,10,8,6,9,10,6,7,2,3,8,11,11,7,4,2,7,5,7,9,8,1,9,5,4,2,2,9,2,5,6,7,8,6,7,9,4,4,5,4,8,2
"4",19,20,19,20,18,21,20,20,21,21,25,18,21,19,19,21,22,16,24,21,18,21,24,23,24,20,22,22,19,23,15,21,16,21,23,21,25,22,21,20,22,22,24,21,18,5,22,22,21,20,25,20,26,23,18,24,21,5,20,21,19,25,22,22,21,18,22,19,21,23,25,21,21,20,24,22,26,24,22,16,25,24,22,23,22,23,26,22,23,23,18,23,23,22,23,26,23,21,24,17
"5",23,21,26,2,24,23,21,22,22,22,27,21,22,2,21,19,23,21,26,24,23,24,25,2,25,23,23,3,20,24,13,19,22,25,21,22,26,3,22,22,2,23,26,19,20,25,23,23,19,24,23,3,24,21,22,22,19,22,21,22,22,26,4,20,22,16,24,20,24,24,23,22,19,18,22,20,22,25,20,17,26,22,23,24,23,24,27,23,24,21,20,21,21,23,24,24,20,2,25,21
"6",5,10,3,12,13,7,8,12,16,15,4,10,8,6,9,5,12,6,3,10,5,9,5,15,5,9,14,13,10,6,11,7,4,4,5,7,11,12,11,6,10,5,12,4,9,15,9,14,10,12,14,13,11,5,5,16,15,7,12,5,13,11,6,7,4,10,5,10,14,6,15,5,11,13,3,9,15,12,12,3,14,8,10,13,9,13,5,13,3,5,10,4,9,6,12,12,13,12,16,9
"7",24,24,24,25,29,26,23,27,2,4,29,25,25,25,3,23,26,24,27,15,26,27,29,27,27,26,3,26,24,3,4,25,25,23,27,26,28,27,24,23,24,27,29,25,22,31,2,28,25,2,29,26,22,28,27,26,25,2,25,26,2,30,27,16,26,2,18,24,25,21,28,3,22,26,27,27,32,21,2,2,31,27,27,28,27,3,30,27,25,2,23,28,2,27,27,30,26,26,31,24
"8",25,27,27,22,30,27,24,26,23,23,30,22,26,22,24,24,27,23,30,25,25,25,28,28,21,27,26,23,21,27,23,26,23,27,4,27,29,26,25,24,25,26,3,26,16,3,24,25,24,27,31,27,28,27,4,28,23,23,26,19,23,28,26,25,23,25,26,17,27,25,29,25,22,22,28,2,29,27,23,20,28,28,26,29,25,27,31,26,26,24,3,24,26,25,26,28,27,23,22,25
"9",7,6,10,7,11,9,3,9,13,10,10,8,5,13,5,10,7,11,10,8,9,12,8,13,10,11,6,10,6,9,8,2,10,8,10,11,13,10,13,8,8,6,7,11,8,12,7,6,7,9,12,10,8,8,9,11,12,10,3,7,6,8,11,12,10,8,6,6,10,9,8,11,6,9,5,3,11,14,10,5,7,12,6,8,3,10,6,10,4,10,9,9,4,10,11,14,3,11,9,11
"10",28,24,23,26,31,25,25,25,28,27,20,16,23,26,26,3,29,3,20,27,24,28,19,29,28,28,28,27,25,28,25,22,26,28,26,25,30,23,26,26,30,25,28,27,24,30,26,27,26,29,28,29,21,26,28,25,24,27,24,25,27,27,25,28,27,28,28,26,28,28,30,27,25,25,29,26,28,20,26,21,27,26,25,30,26,28,29,25,29,27,25,27,28,26,17,31,25,28,30,23
