"","treeID","nodeID","parmID","contPT","mwcpSZ"
"1",1,1,1,49,0
"2",1,1,1,38,0
"3",1,1,1,35,0
"4",1,1,0,NA,0
"5",1,4,0,NA,0
"6",1,3,1,48,0
"7",1,3,1,39,0
"8",1,3,0,NA,0
"9",1,6,1,42,0
"10",1,6,0,NA,0
"11",1,7,1,44,0
"12",1,7,0,NA,0
"13",1,8,1,45,0
"14",1,8,0,NA,0
"15",1,9,0,NA,0
"16",1,5,0,NA,0
"17",1,2,1,71,0
"18",1,2,1,58,0
"19",1,2,1,56,0
"20",1,2,1,55,0
"21",1,2,1,53,0
"22",1,2,1,51,0
"23",1,2,0,NA,0
"24",1,15,0,NA,0
"25",1,14,1,54,0
"26",1,14,0,NA,0
"27",1,16,0,NA,0
"28",1,13,0,NA,0
"29",1,12,1,57,0
"30",1,12,0,NA,0
"31",1,17,0,NA,0
"32",1,11,1,63,0
"33",1,11,1,62,0
"34",1,11,1,61,0
"35",1,11,1,60,0
"36",1,11,1,59,0
"37",1,11,0,NA,0
"38",1,22,0,NA,0
"39",1,21,0,NA,0
"40",1,20,0,NA,0
"41",1,19,0,NA,0
"42",1,18,1,64,0
"43",1,18,0,NA,0
"44",1,23,1,68,0
"45",1,23,1,67,0
"46",1,23,1,65,0
"47",1,23,0,NA,0
"48",1,26,1,66,0
"49",1,26,0,NA,0
"50",1,27,0,NA,0
"51",1,25,0,NA,0
"52",1,24,1,69,0
"53",1,24,0,NA,0
"54",1,28,0,NA,0
"55",1,10,0,NA,0
"56",2,1,1,35,0
"57",2,1,0,NA,0
"58",2,2,1,43,0
"59",2,2,1,38,0
"60",2,2,1,37,0
"61",2,2,0,NA,0
"62",2,5,0,NA,0
"63",2,4,1,42,0
"64",2,4,1,39,0
"65",2,4,0,NA,0
"66",2,7,0,NA,0
"67",2,6,0,NA,0
"68",2,3,1,58,0
"69",2,3,1,53,0
"70",2,3,1,47,0
"71",2,3,1,45,0
"72",2,3,0,NA,0
"73",2,11,0,NA,0
"74",2,10,1,49,0
"75",2,10,0,NA,0
"76",2,12,1,52,0
"77",2,12,1,50,0
"78",2,12,0,NA,0
"79",2,14,0,NA,0
"80",2,13,0,NA,0
"81",2,9,1,54,0
"82",2,9,0,NA,0
"83",2,15,0,NA,0
"84",2,8,1,63,0
"85",2,8,1,61,0
"86",2,8,1,60,0
"87",2,8,1,59,0
"88",2,8,0,NA,0
"89",2,19,0,NA,0
"90",2,18,0,NA,0
"91",2,17,1,62,0
"92",2,17,0,NA,0
"93",2,20,0,NA,0
"94",2,16,1,64,0
"95",2,16,0,NA,0
"96",2,21,1,72,0
"97",2,21,1,70,0
"98",2,21,1,68,0
"99",2,21,1,66,0
"100",2,21,1,65,0
"101",2,21,0,NA,0
"102",2,26,0,NA,0
"103",2,25,1,67,0
"104",2,25,0,NA,0
"105",2,27,0,NA,0
"106",2,24,0,NA,0
"107",2,23,0,NA,0
"108",2,22,0,NA,0
"109",3,1,1,49,0
"110",3,1,1,48,0
"111",3,1,1,35,0
"112",3,1,0,NA,0
"113",3,4,1,36,0
"114",3,4,0,NA,0
"115",3,5,1,40,0
"116",3,5,1,39,0
"117",3,5,0,NA,0
"118",3,7,0,NA,0
"119",3,6,1,44,0
"120",3,6,1,43,0
"121",3,6,1,42,0
"122",3,6,0,NA,0
"123",3,10,0,NA,0
"124",3,9,0,NA,0
"125",3,8,1,46,0
"126",3,8,0,NA,0
"127",3,11,0,NA,0
"128",3,3,0,NA,0
"129",3,2,1,58,0
"130",3,2,1,55,0
"131",3,2,1,52,0
"132",3,2,1,51,0
"133",3,2,1,50,0
"134",3,2,0,NA,0
"135",3,16,0,NA,0
"136",3,15,0,NA,0
"137",3,14,1,53,0
"138",3,14,0,NA,0
"139",3,17,0,NA,0
"140",3,13,0,NA,0
"141",3,12,1,70,0
"142",3,12,1,62,0
"143",3,12,1,60,0
"144",3,12,1,59,0
"145",3,12,0,NA,0
"146",3,21,0,NA,0
"147",3,20,1,61,0
"148",3,20,0,NA,0
"149",3,22,0,NA,0
"150",3,19,1,69,0
"151",3,19,1,68,0
"152",3,19,1,63,0
"153",3,19,0,NA,0
"154",3,25,1,64,0
"155",3,25,0,NA,0
"156",3,26,1,67,0
"157",3,26,1,65,0
"158",3,26,0,NA,0
"159",3,28,1,66,0
"160",3,28,0,NA,0
"161",3,29,0,NA,0
"162",3,27,0,NA,0
"163",3,24,0,NA,0
"164",3,23,0,NA,0
"165",3,18,0,NA,0
"166",4,1,1,64,0
"167",4,1,1,44,0
"168",4,1,1,43,0
"169",4,1,1,38,0
"170",4,1,1,37,0
"171",4,1,0,NA,0
"172",4,6,0,NA,0
"173",4,5,1,42,0
"174",4,5,1,39,0
"175",4,5,0,NA,0
"176",4,8,0,NA,0
"177",4,7,0,NA,0
"178",4,4,0,NA,0
"179",4,3,1,58,0
"180",4,3,1,53,0
"181",4,3,1,51,0
"182",4,3,1,45,0
"183",4,3,0,NA,0
"184",4,12,1,49,0
"185",4,12,0,NA,0
"186",4,13,1,50,0
"187",4,13,0,NA,0
"188",4,14,0,NA,0
"189",4,11,1,52,0
"190",4,11,0,NA,0
"191",4,15,0,NA,0
"192",4,10,1,54,0
"193",4,10,0,NA,0
"194",4,16,0,NA,0
"195",4,9,1,61,0
"196",4,9,1,60,0
"197",4,9,1,59,0
"198",4,9,0,NA,0
"199",4,19,0,NA,0
"200",4,18,0,NA,0
"201",4,17,1,62,0
"202",4,17,0,NA,0
"203",4,20,1,63,0
"204",4,20,0,NA,0
"205",4,21,0,NA,0
"206",4,2,1,67,0
"207",4,2,1,65,0
"208",4,2,0,NA,0
"209",4,23,1,66,0
"210",4,23,0,NA,0
"211",4,24,0,NA,0
"212",4,22,1,68,0
"213",4,22,0,NA,0
"214",4,25,1,69,0
"215",4,25,0,NA,0
"216",4,26,1,70,0
"217",4,26,0,NA,0
"218",4,27,1,71,0
"219",4,27,0,NA,0
"220",4,28,1,72,0
"221",4,28,0,NA,0
"222",4,29,0,NA,0
"223",5,1,1,65,0
"224",5,1,1,63,0
"225",5,1,1,54,0
"226",5,1,1,49,0
"227",5,1,1,46,0
"228",5,1,1,35,0
"229",5,1,0,NA,0
"230",5,7,1,39,0
"231",5,7,1,38,0
"232",5,7,1,37,0
"233",5,7,0,NA,0
"234",5,10,0,NA,0
"235",5,9,0,NA,0
"236",5,8,1,42,0
"237",5,8,0,NA,0
"238",5,11,1,43,0
"239",5,11,0,NA,0
"240",5,12,0,NA,0
"241",5,6,1,48,0
"242",5,6,0,NA,0
"243",5,13,0,NA,0
